internal_player_id,official_fantasy_player_id,name,country,official_fantasy_position,official_price,qualifier_matches_available,qualifier_minutes,qualifier_starts,qualifier_goals,qualifier_assists,qualifier_clean_sheets,qualifier_cards,recent_nt_minutes,recent_nt_starts,recent_nt_role,last_nt_start_date,set_piece_role,penalty_role,corner_role,free_kick_role,usage_source,usage_source_url,usage_source_checked,usage_confidence,data_quality_flags,notes
ghana-augustine-boakye,1445,Augustine Boakye,Ghana,MID,4.9,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
japan-ko-itakura,1454,Ko Itakura,Japan,DEF,4.5,11,891,10,1,0,9,0,891,10,locked_starter,2025-03-25T10:35:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
japan-takehiro-tomiyasu,1455,Takehiro Tomiyasu,Japan,DEF,4.9,2,166,2,0,0,2,0,166,2,rotation_starter,2024-06-11T10:14:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
japan-yuto-nagatomo,1456,Yuto Nagatomo,Japan,DEF,3.7,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
japan-wataru-endo,1457,Wataru Endo,Japan,MID,6,11,862,10,2,0,10,0,862,10,likely_starter,2025-06-10T10:35:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
japan-takefusa-kubo,1458,Takefusa Kubo,Japan,MID,7,11,657,8,4,8,8,1,657,8,likely_starter,2025-06-10T10:35:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
mexico-jose-antonio-rodriguez,1459,Antonio Rodríguez,Mexico,GK,3.7,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-carlos-moreno,1460,Carlos Moreno,Mexico,GK,3.6,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-alex-padilla,1461,Álex Padilla,Mexico,GK,3.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
mexico-julian-araujo,1462,Julián Araujo,Mexico,DEF,4,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
